San Jose Sharks 0, New York Rangers 4
New York Islanders 4, Columbus Blue Jackets 0
Washington Capitals 6, Calgary Flames 2
St. Louis Blues 0, Montreal Canadiens 3
Arizona Coyotes 2, New Jersey Devils 3
Tampa Bay Lightning 4, Nashville Predators 5
Dallas Stars 2, Philadelphia Flyers 1
Florida Panthers 2, Pittsburgh Penguins 3
Philadelphia Flyers 5, Boston Bruins 4
Toronto Maple Leafs 1, Buffalo Sabres 2
Carolina Hurricanes 1, Colorado Avalanche 0
Detroit Red Wings 1, Edmonton Oilers 3
Florida Panthers 2, Chicago Blackhawks 3
Columbus Blue Jackets 2, Minnesota Wild 3
Anaheim Ducks 1, Nashville Predators 5
Arizona Coyotes 1, New York Rangers 4
New Jersey Devils 5, Ottawa Senators 4
Dallas Stars 4, Pittsburgh Penguins 1
Los Angeles Kings 4, San Jose Sharks 1
Washington Capitals 3, Vancouver Canucks 2
Montreal Canadiens 7, Buffalo Sabres 2
Detroit Red Wings 2, Calgary Flames 3
Washington Capitals 7, Edmonton Oilers 4
Carolina Hurricanes 0, Los Angeles Kings 3
Boston Bruins 5, New York Islanders 3
Tampa Bay Lightning 4, Winnipeg Jets 3
New Jersey Devils 4, Buffalo Sabres 3
Tampa Bay Lightning 0, Chicago Blackhawks 1
Columbus Blue Jackets 4, Colorado Avalanche 3
Florida Panthers 6, Dallas Stars 2
Anaheim Ducks 0, Minnesota Wild 3
Toronto Maple Leafs 3, Montreal Canadiens 5
Pittsburgh Penguins 2, Nashville Predators 1
Arizona Coyotes 4, Ottawa Senators 1
New York Rangers 2, Philadelphia Flyers 3
Carolina Hurricanes 2, San Jose Sharks 5
New York Islanders 3, St. Louis Blues 2
Detroit Red Wings 3, Vancouver Canucks 2
Los Angeles Kings 3, Edmonton Oilers 2
Calgary Flames 1, New York Rangers 4
Minnesota Wild 4, Winnipeg Jets 5
Anaheim Ducks 0, Chicago Blackhawks 1
Calgary Flames 0, New York Islanders 4
Arizona Coyotes 4, Toronto Maple Leafs 3
Arizona Coyotes 0, Boston Bruins 6
Anaheim Ducks 3, Dallas Stars 4
Carolina Hurricanes 3, Detroit Red Wings 1
Colorado Avalanche 1, Florida Panthers 4
Edmonton Oilers 3, Minnesota Wild 4
Columbus Blue Jackets 3, New Jersey Devils 1
Buffalo Sabres 4, Philadelphia Flyers 3
Tampa Bay Lightning 0, St. Louis Blues 2
Montreal Canadiens 1, Vancouver Canucks 5
Los Angeles Kings 4, Winnipeg Jets 1
Calgary Flames 4, Ottawa Senators 5
Nashville Predators 2, San Jose Sharks 1
Pittsburgh Penguins 3, Washington Capitals 1
Vancouver Canucks 3, Dallas Stars 4
Montreal Canadiens 3, Edmonton Oilers 4
Carolina Hurricanes 3, New York Islanders 2
New Jersey Devils 4, Philadelphia Flyers 1
Buffalo Sabres 3, Pittsburgh Penguins 4
Anaheim Ducks 1, St. Louis Blues 2
Colorado Avalanche 2, Tampa Bay Lightning 1
Chicago Blackhawks 1, Winnipeg Jets 3
Vancouver Canucks 4, Arizona Coyotes 3
Philadelphia Flyers 1, Buffalo Sabres 3
Colorado Avalanche 2, Carolina Hurricanes 3
Montreal Canadiens 6, Calgary Flames 2
Ottawa Senators 3, Detroit Red Wings 1
Boston Bruins 3, Florida Panthers 1
Chicago Blackhawks 4, Minnesota Wild 5
Toronto Maple Leafs 1, New York Rangers 3
Columbus Blue Jackets 1, Washington Capitals 2
Winnipeg Jets 3, Columbus Blue Jackets 2
San Jose Sharks 3, Dallas Stars 5
Calgary Flames 5, Edmonton Oilers 4
Washington Capitals 2, Florida Panthers 1
Nashville Predators 3, Los Angeles Kings 4
New York Islanders 2, New Jersey Devils 3
Detroit Red Wings 5, Ottawa Senators 3
Minnesota Wild 2, St. Louis Blues 3
Boston Bruins 3, Tampa Bay Lightning 1
Pittsburgh Penguins 4, Toronto Maple Leafs 0
Nashville Predators 2, Anaheim Ducks 4
Tampa Bay Lightning 4, Carolina Hurricanes 3
San Jose Sharks 4, Colorado Avalanche 3
Winnipeg Jets 1, Montreal Canadiens 5
Buffalo Sabres 2, New York Islanders 1
Los Angeles Kings 2, Chicago Blackhawks 4
Dallas Stars 1, Toronto Maple Leafs 4
Philadelphia Flyers 1, Vancouver Canucks 4
Dallas Stars 5, Boston Bruins 3
Calgary Flames 3, Colorado Avalanche 6
Tampa Bay Lightning 1, Detroit Red Wings 2
Philadelphia Flyers 2, Edmonton Oilers 4
Ottawa Senators 2, Montreal Canadiens 1
New Jersey Devils 1, New York Islanders 2
Washington Capitals 2, New York Rangers 5
Columbus Blue Jackets 5, San Jose Sharks 2
Los Angeles Kings 3, St. Louis Blues 0
