Steelers 20, Chiefs 12
Texans 25, Ravens 13
Rams 27, Giants 37
Cowboys 42, Colts 7
Raiders 26, Bills 24
Cardinals 6, Seahawks 35
Bengals 37, Broncos 28
Buccaneers 20, Saints 23
Chiefs 19, Chargers 7
Dolphins 24, Jets 37
Falcons 3, Panthers 34
Giants 26, Eagles 34
Packers 30, Lions 20
Patriots 9, Bills 17
Ravens 20, Browns 10
Redskins 17, Cowboys 44
Steelers 27, Bengals 17
Texans 23, Jaguars 17
Titans 10, Colts 27
Vikings 13, Bears 9
49ers 20, Cardinals 17
Broncos 47, Raiders 14
Seahawks 20, Rams 6
